Mouse # / gating level,Statistic (%),# of Cells
1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,88.7,1389846
1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,35.2,489127
1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,38.2,530572
"1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.15,2330
"1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",80.4,1259467
"1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",8.37,131195
"1163 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",11.1,174445
1164 tumor.fcs,7743680,
1164 tumor.fcs/All Cells,31.1,2404521
1164 tumor.fcs/All Cells/Single Cells,80.7,1940186
1164 tumor.fcs/All Cells/Single Cells/Single Cells,92.2,1788856
1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live,70.8,1266774
1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,58.2,737644
1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,98,722990
1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,27.3,197717
1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,29.3,212181
"1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.016,117
"1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",95.2,702235
"1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",2.94,21705
"1164 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",1.84,13587
1165 tumor.fcs,12625968,
1165 tumor.fcs/All Cells,30.5,3853972
1165 tumor.fcs/All Cells/Single Cells,74.3,2863312
1165 tumor.fcs/All Cells/Single Cells/Single Cells,91.5,2620489
1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live,57.6,1508766
1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,84.8,1279178
1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,97.1,1241758
1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,28.3,351196
1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,30.6,380177
"1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.018,235
"1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",95,1214932
"1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",2.44,31192
"1165 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",2.57,32819
1177 tumor.fcs,21072520,
1177 tumor.fcs/All Cells,23.9,5037683
1177 tumor.fcs/All Cells/Single Cells,70.5,3550988
1177 tumor.fcs/All Cells/Single Cells/Single Cells,92.2,3275402
1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live,26.9,882319
1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,63.3,558779
1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,95,530964
1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,18.6,98940
1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,21,111311
"1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.088,490
"1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",93.4,522080
"1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",2.14,11954
"1177 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",4.34,24255
1178 tumor.fcs,17187424,
1178 tumor.fcs/All Cells,18.4,3166871
1178 tumor.fcs/All Cells/Single Cells,71.6,2266437
1178 tumor.fcs/All Cells/Single Cells/Single Cells,89.6,2030151
1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live,36.6,743686
1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+,85.9,638772
1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+,89.7,573020
1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+,26.8,153311
1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/CD11b+/F4 80+ Macs,29.7,170353
"1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q1: CD11b- , F4 80+",0.036,229
"1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q2: CD11b+ , F4 80+",86.3,551528
"1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q3: CD11b+ , F4 80-",4.05,25894
"1178 tumor.fcs/All Cells/Single Cells/Single Cells/Live/CD45+/Q4: CD11b- , F4 80-",9.57,61121
1179 tumor.fcs,3027728,
1179 tumor.fcs/All Cells,13.5,407318
