Mouse# / gating level ,Statistic (%) ,# of Cells
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
1165 dead.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,0,0
1165 tumor.fcs,,12625968
1165 tumor.fcs/Lymphocytes,7.23,912413
1165 tumor.fcs/Lymphocytes/Single Cells,92.2,841671
1165 tumor.fcs/Lymphocytes/Single Cells/Live,35.3,297126
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,54,160306
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,13.3,21378
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,41.1,8788
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,29,6197
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,75.1,4657
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.94,120
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,14.8,915
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,1.16,72
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,63.9,3957
1165 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.49,3997
1177 tumor.fcs,,21072520
1177 tumor.fcs/Lymphocytes,10,2106589
1177 tumor.fcs/Lymphocytes/Single Cells,90.4,1905187
1177 tumor.fcs/Lymphocytes/Single Cells/Live,17.1,325757
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,37.9,123328
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.3,18928
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,43.8,8283
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,35.3,6675
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,79.3,5293
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.21,81
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,6.88,459
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,3.15,210
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,61.7,4119
1177 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.04,2510
1178 tumor.fcs,,17187424
1178 tumor.fcs/Lymphocytes,5.14,883120
1178 tumor.fcs/Lymphocytes/Single Cells,92.1,813265
1178 tumor.fcs/Lymphocytes/Single Cells/Live,24.3,198000
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,78.3,155008
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,30.3,46897
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,57.3,26850
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,23.4,10956
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,83.9,9188
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.61,176
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,6.98,765
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,6.28,688
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,60.6,6639
1178 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.66,4127
1179 tumor.fcs,,3027728
1179 tumor.fcs/Lymphocytes,9.83,297536
1179 tumor.fcs/Lymphocytes/Single Cells,95,282661
1179 tumor.fcs/Lymphocytes/Single Cells/Live,1.55,4370
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,22.2,972
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,4.42,43
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,18.6,8
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,2.33,1
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,0,0
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0,0
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,100,1
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,0,0
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,0,0
1179 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,8.23,80
1180 tumor.fcs,,3611032
1180 tumor.fcs/Lymphocytes,15,541451
1180 tumor.fcs/Lymphocytes/Single Cells,87.7,474933
1180 tumor.fcs/Lymphocytes/Single Cells/Live,17.9,85152
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,73.4,62479
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,10.2,6347
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,50.8,3223
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,21.5,1367
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,66,902
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.98,27
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,7.61,104
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,6.07,83
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,29.2,399
1180 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,1.57,980
1182 tumor.fcs,,13375984
1182 tumor.fcs/Lymphocytes,8.35,1116376
1182 tumor.fcs/Lymphocytes/Single Cells,86.7,968011
1182 tumor.fcs/Lymphocytes/Single Cells/Live,28.1,271843
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,56,152245
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,20.6,31385
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,41.7,13086
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,25.7,8058
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,77.3,6231
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,7.32,590
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,18.4,1484
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,4.19,338
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,32.6,2629
1182 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.94,4472
1183 tumor.fcs,,9465152
1183 tumor.fcs/Lymphocytes,6.25,591807
1183 tumor.fcs/Lymphocytes/Single Cells,97.2,575329
1183 tumor.fcs/Lymphocytes/Single Cells/Live,56.4,324769
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,92.7,301175
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,26.2,79017
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,39.2,30968
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,14.2,11210
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,56.7,6352
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.06,567
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,32.5,3644
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,3.76,421
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,28.3,3177
1183 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.11,9360
1184 tumor.fcs,,22765344
1184 tumor.fcs/Lymphocytes,12.1,2744003
1184 tumor.fcs/Lymphocytes/Single Cells,92.2,2531032
1184 tumor.fcs/Lymphocytes/Single Cells/Live,0.51,12851
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,39.6,5089
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.3,780
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,55.1,430
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,16.3,127
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,54.3,69
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.3,8
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,30.7,39
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,5.51,7
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,24.4,31
1184 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,4.89,249
1185 tumor.fcs,,2883064
1185 tumor.fcs/Lymphocytes,6.48,186774
1185 tumor.fcs/Lymphocytes/Single Cells,81.7,152650
1185 tumor.fcs/Lymphocytes/Single Cells/Live,26.9,41003
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,71.7,29379
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,5.4,1587
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,32.5,515
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,17.8,283
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,66.4,188
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.06,3
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,7.42,21
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,4.59,13
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,36,102
1185 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.49,1024
1186 tumor.fcs,,4882640
1186 tumor.fcs/Lymphocytes,3.33,162683
1186 tumor.fcs/Lymphocytes/Single Cells,62.1,100974
1186 tumor.fcs/Lymphocytes/Single Cells/Live,19.2,19371
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,35.8,6935
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,15.6,1082
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,58,628
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,29.5,319
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,27.6,88
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,0.63,2
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,41.4,132
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,3.76,12
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,17.2,55
1186 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,11.4,792
1188 tumor.fcs,,17678600
1188 tumor.fcs/Lymphocytes,6.71,1186805
1188 tumor.fcs/Lymphocytes/Single Cells,92.3,1095007
1188 tumor.fcs/Lymphocytes/Single Cells/Live,6.12,67066
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,83.8,56205
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,7.62,4281
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,52,2225
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,24.4,1043
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,65.5,683
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.4,25
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,14.2,148
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,1.92,20
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,40.8,426
1188 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.01,1130
1189 tumor.fcs,,13011456
1189 tumor.fcs/Lymphocytes,4.86,632477
1189 tumor.fcs/Lymphocytes/Single Cells,91.4,578178
1189 tumor.fcs/Lymphocytes/Single Cells/Live,53.8,310930
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,93.7,291253
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.8,72175
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,46.8,33757
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,41,29573
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,81.4,24066
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,1.28,379
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,3.75,1110
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,9.85,2913
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,62.5,18475
1189 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.22,9369
1192 tumor.fcs,,6973188
1192 tumor.fcs/Lymphocytes,12.2,849007
1192 tumor.fcs/Lymphocytes/Single Cells,96.6,820276
1192 tumor.fcs/Lymphocytes/Single Cells/Live,81.2,665783
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,96.3,641217
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,32.3,206849
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,47.2,97710
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,9.46,19572
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,51.7,10126
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.19,1212
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,37.8,7399
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,6.56,1283
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,37.1,7268
1192 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,1.6,10236
1193 tumor.fcs,,9658400
1193 tumor.fcs/Lymphocytes,6.77,653614
1193 tumor.fcs/Lymphocytes/Single Cells,91.3,596820
1193 tumor.fcs/Lymphocytes/Single Cells/Live,72,429492
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,88.2,378694
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,44.6,168944
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,37.7,63743
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,46.2,77975
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,89.8,69994
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.34,1826
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,5.89,4596
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,1.18,922
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,75.5,58887
1193 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,7.74,29317
1194 tumor.fcs,,8059872
1194 tumor.fcs/Lymphocytes,11.8,952049
1194 tumor.fcs/Lymphocytes/Single Cells,88.2,839837
1194 tumor.fcs/Lymphocytes/Single Cells/Live,49.2,413581
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,88.6,366284
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,21,76761
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,46.6,35763
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,16.3,12518
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,62.8,7858
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,7.04,881
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,17.9,2239
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,4.05,507
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,35.7,4469
1194 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,8.55,31319
1195 tumor.fcs,,16488392
1195 tumor.fcs/Lymphocytes,9.06,1493810
1195 tumor.fcs/Lymphocytes/Single Cells,93.4,1395843
1195 tumor.fcs/Lymphocytes/Single Cells/Live,25,349569
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,88.8,310252
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,31.4,97266
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,29.5,28739
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,34.8,33880
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,76.7,25971
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.6,881
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,6.66,2258
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,1.69,574
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,19,6449
1195 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,2.6,8064
1196 tumor.fcs,,7072080
1196 tumor.fcs/Lymphocytes,7.46,527604
1196 tumor.fcs/Lymphocytes/Single Cells,92.6,488815
1196 tumor.fcs/Lymphocytes/Single Cells/Live,50.7,247918
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,89.3,221301
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,30.4,67379
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,61.5,41466
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,20.9,14098
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,70.2,9893
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,6.71,946
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,9.95,1403
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,9.19,1296
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,50.9,7173
1196 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,1.73,3828
1201 tumor.fcs,,12650936
1201 tumor.fcs/Lymphocytes,1.69,213902
1201 tumor.fcs/Lymphocytes/Single Cells,93.6,200139
1201 tumor.fcs/Lymphocytes/Single Cells/Live,77.8,155790
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,89.1,138869
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,20.3,28192
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,46.3,13043
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,24.3,6841
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,67.1,4590
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,11.7,802
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,24.4,1667
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,8.51,582
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,31.5,2152
1201 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,7.08,9829
1202 tumor.fcs,,17288712
1202 tumor.fcs/Lymphocytes,2.11,365022
1202 tumor.fcs/Lymphocytes/Single Cells,93.9,342908
1202 tumor.fcs/Lymphocytes/Single Cells/Live,45.5,155878
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,75,116840
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,24.5,28609
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,40.8,11672
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,33.7,9651
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,66.2,6385
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,2.67,258
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,10.8,1042
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,9.84,950
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,44.6,4306
1202 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.76,4393
1203 tumor.fcs,,10532712
1203 tumor.fcs/Lymphocytes,2.56,269506
1203 tumor.fcs/Lymphocytes/Single Cells,94.1,253575
1203 tumor.fcs/Lymphocytes/Single Cells/Live,71.9,182380
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,90.2,164497
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,46.9,77187
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,62.1,47935
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,19.4,14957
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,64.4,9627
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,9.99,1494
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,23.7,3542
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,12.6,1881
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,24.6,3674
1203 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,6.3,10363
1204 tumor.fcs,,24767968
1204 tumor.fcs/Lymphocytes,2.55,632186
1204 tumor.fcs/Lymphocytes/Single Cells,94.8,599147
1204 tumor.fcs/Lymphocytes/Single Cells/Live,22.7,136222
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,85.1,115865
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,37.5,43503
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,40.3,17540
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,35.4,15388
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,64.1,9863
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,5.52,850
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,17.5,2691
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,18.4,2836
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,42.7,6566
1204 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,14.1,16280
1205 tumor.fcs,,11242088
1205 tumor.fcs/Lymphocytes,4.23,475592
1205 tumor.fcs/Lymphocytes/Single Cells,96.2,457657
1205 tumor.fcs/Lymphocytes/Single Cells/Live,61.9,283439
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+,94.2,266901
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+,38.5,102644
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD4+,50,51271
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+,28.5,29303
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+,80.3,23535
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD69+ CD103+,3.76,1103
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/CD103+,7.42,2175
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/LAG3+,24.3,7130
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD3+/CD8+/PD-1+,52.3,15316
1205 tumor.fcs/Lymphocytes/Single Cells/Live/CD45+/CD19+,3.09,8242
1206 tumor.fcs,,14879120
1206 tumor.fcs/Lymphocytes,4.71,700079
1206 tumor.fcs/Lymphocytes/Single Cells,91.9,643401
1206 tumor.fcs/Lymphocytes/Single Cells/Live,39.1,251411
